id,name,status,codigo
6,SONDA ITABERABA,ativo,1001
7,SONDA JAÇANÃ,ativo,1002
8,SONDA SANTO AMARO,ativo,1003
9,SONDA ITAIM PAULISTA,ativo,1004
10,SONDA VILA RIO,ativo,1005
11,SONDA CIDADE DUTRA,ativo,1006
12,SONDA TREMEMBÉ,ativo,1007
13,SONDA VILA SÃO JOSÉ,ativo,1008
14,SONDA PQ DA MOOCA,ativo,1009
15,SONDA PAULISTA (MATRIZ),ativo,1010
16,SONDA AGUA BRANCA,ativo,1011
17,SONDA TATUAPÉ,ativo,1012
18,SONDA ABC,ativo,1013
19,SONDA PENHA,ativo,1014
20,SONDA MARIA CÂNDIDA,ativo,1015
21,SONDA POMPEIA,ativo,1016
22,SONDA CD,ativo,1017
23,SONDA PIEDADE,ativo,1018
24,COBAL CARAPICUIBA 1,ativo,1019
25,SONDA EDGAR FACÓ,ativo,1020
26,SONDA VILA CARRÃO,ativo,1021
27,COBAL PENHA,ativo,1022
28,SONDA VILA GALVÃO,ativo,1023
29,SONDA ARUJA,ativo,1024
30,SONDA SÃO JOSÉ DOS CAMPOS,ativo,1025
31,SONDA VILA BARROS,ativo,1026
32,SONDA FAZENDINHA,ativo,1027
33,SONDA SANTO ANDRÉ,ativo,1028
34,SONDA DELIVERY,ativo,1029
35,SONDA BARUERI,ativo,1030
36,SONDA SÃO CAETANO 2,ativo,1031
37,COBAL CACHOEIRINHA,ativo,1032
38,COBAL FREGUESIA,ativo,1033
39,SONDA TAIPAS,ativo,1034
40,COBAL CARAPICUIBA 2,ativo,1035
41,SONDA SÃO VICENTE,ativo,1036
42,SONDA CAJAMAR 1,ativo,1037
43,SONDA CABREUVA,ativo,1038
44,SONDA SALTO 2,ativo,1039
45,SONDA SALTO 1,ativo,1040
46,SONDA SÃO CAETANO,ativo,1041
47,SONDA INDAIATUBA,ativo,1042
48,SONDA CAJAMAR 2,ativo,1043
49,SONDA CAMPINAS,ativo,1044
50,SONDA M BOI MIRIM,ativo,1045
51,SONDA ITAPECERICA,ativo,1047
52,SONDA CD PERECIVEIS,ativo,1048
53,SONDA RUDGE RAMOS,ativo,1049
54,SONDA VILA ROMANA,ativo,1051
